,Feature,Score
314,min_numberofinstls_320L,3.4454897988654323
705,max_education_927M_P97_36_170,3.333452443864841
715,max_empl_industry_691L_CATERING,3.2944936686125312
733,max_empl_industry_691L_TRADE,3.2288731757853535
264,max_dateofcredend_289D,3.2135320704472767
730,max_empl_industry_691L_REAL_ESTATE,3.2122898159341373
938,max_contractst_964M_b919198c,3.168425141680488
1238,max_subjectroles_name_838M_daf49a8a,3.125736548752037
914,max_contractst_964M_9c5b185b,3.1092762723761425
702,max_education_927M_P157_18_172,3.1092762723761425
1055,max_financialinstitution_382M_d1c4d78f,3.1092762723761425
1059,max_financialinstitution_382M_d5809fcf,3.1092762723761425
356,min_totalamount_996A,3.0274850136368996
1070,max_financialinstitution_382M_dcf5a604,3.0271842813642524
734,max_empl_industry_691L_TRANSPORTATION,3.0202530497922715
136,max_credacc_credlmt_575A,3.011800847571816
812,max_classificationofcontr_13M_a55475b1,2.9317893107319275
425,lastapprcommoditycat_1041M_P137_6_96,2.8225395102370694
701,max_education_927M_P106_81_188,2.76821688899138
317,sum_numberofinstls_320L,2.7376708721659444
352,max_residualamount_856A,2.6842419976813856
371,min_pmts_dpd_1073P,2.633604174773001
1135,max_financialinstitution_591M_d6a7d943,2.5746560138392725
459,lastapprcommoditycat_1041M_a55475b1,2.571169986093915
548,lastrejectreason_759M_P64_121_167,2.528293469437915
1130,max_financialinstitution_591M_cc2c2610,2.5203474257974863
793,max_safeguarantyflag_411L_True,2.459755087601255
